Country,Percentage,Value Daily TYNDP 2022,Value,,,,,Code,Country Name,Process type,Subprocess type,Process for tooltip,Subprocess for tooltip,Production capacity T/year,,
AT03,1.00%,25.00992,2.164591738,,,,,AT,Austria,Reforming,Unknown,via reforming,,"158,031", 2.16 ,
BE01,1.00%,57.7152,6.092829012,,,,,BE,Belgium,Reforming,Unknown,via reforming,,"444,821", 6.09 ,
BG01,1.00%,33.42672,2.383556141,,,,,BG,Bulgaria,Reforming,Unknown,via reforming,,"174,017", 2.38 ,
CH00,1.00%,,0.289327229,,,,,HR,Croatia,Reforming,Unknown,via reforming,,"149,899", 2.05 ,
CZ01,1.00%,24.817536,1.625152537,,,,,CZ,Czechia,Reforming,Unknown,via reforming,,"118,648", 1.63 ,
DE01,0.30%,73.4570208,7.593070754,,,,,DK,Denmark,Reforming,Unknown,via reforming,,"30,576", 0.42 ,
DE02,0.10%,24.4856736,2.531023585,,,,,FI,Finland,Reforming,Unknown,via reforming,,"174,265", 2.39 ,
DE03,0.20%,48.9713472,5.062047169,,,,,FR,France,Reforming,Unknown,via reforming,,"700,517", 9.60 ,
DE04,0.20%,48.9713472,5.062047169,,,,,DE,Germany,Reforming,Unknown,via reforming,,"1,847,832", 25.31 ,
DE07,0.20%,48.9713472,5.062047169,,,,,GR,Greece,Reforming,Unknown,via reforming,,"359,296", 4.92 ,
DKE1,1.00%,,0.41880743,,,,,HU,Hungary,Reforming,Unknown,via reforming,,"232,907", 3.19 ,
ES01,0.13%,9.078120001,1.326016974,,,,,IE,Ireland,Reforming,Unknown,via reforming,,"9,565", 0.13 ,
ES02,0.13%,9.078120001,1.326016974,,,,,IT,Italy,Reforming,Unknown,via reforming,,"785,024", 10.75 ,
ES06,0.25%,18.15624,2.550032642,,,,,LT,Lithuania,Reforming,Unknown,via reforming,,"266,934", 3.66 ,
ES08,0.13%,9.078120001,1.326016974,,,,,NL,Netherlands,Reforming,Unknown,via reforming,,"1,258,168", 17.23 ,
ES09,0.25%,18.15624,2.550032642,,,,,NO,Norway,Reforming,Unknown,via reforming,,"266,030", 3.64 ,
ES11,0.13%,9.078120001,1.326016974,,,,,PL,Poland,Reforming,Unknown,via reforming,,"1,081,622", 14.82 ,
FI01,1.00%,,2.386953062,,,,,PT,Portugal,Reforming,Unknown,via reforming,,"98,950", 1.36 ,
FR03,0.29%,18.90859885,2.782597466,,,,,RO,Romania,Reforming,Unknown,via reforming,,"241,699", 3.31 ,
FR06,0.14%,9.454299427,1.343322915,,,,,SK,Slovakia,Reforming,Unknown,via reforming,,"216,062", 2.96 ,
FR08,0.14%,9.454299427,1.343322915,,,,,SI,Slovenia,Reforming,Unknown,via reforming,,"1,971", 0.03 ,
FR10,0.14%,9.454299427,1.343322915,,,,,ES,Spain,Reforming,Unknown,via reforming,,"744,684", 10.20 ,
FR13,0.29%,18.90859885,2.782597466,,,,,SE,Sweden,Reforming,Unknown,via reforming,,"197,794", 2.71 ,
GR02,1.00%,19.71936,4.921370827,,,,,CH,Switzerland,Reforming,Unknown,via reforming,,"21,123", 0.29 ,
HR01,1.00%,23.037984,2.053205618,,,,,UK,United Kingdom,Reforming,Unknown,via reforming,,"730,550", 10.01 ,
HU01,1.00%,31.74336,3.190187799,,,,,,,,,,,,,
IE00,1.00%,,0.131014295,,,,,,,,,,,,,
ITCN,0.17%,13.218384,1.827955268,,,,,,,,,,,,,
ITN1,0.33%,26.436768,3.548383756,,,,,,,,,,,,,
ITS1,0.08%,6.609191999,0.860214244,,,,,,,,,,,,,
ITSA,0.08%,6.609191999,0.860214244,,,,,,,,,,,,,
ITSI,0.33%,26.436768,3.548383756,,,,,,,,,,,,,
LT00,1.00%,36.88963199,3.656264474,,,,,,,,,,,,,
NOS1,1.00%,,3.643882151,,,,,,,,,,,,,
NL03,1.00%,169.201728,17.23345456,,,,,,,,,,,,,
PL01,0.33%,37.75536,4.889035157,,,,,,,,,,,,,
PL03,0.33%,37.75536,4.889035157,,,,,,,,,,,,,
PL05,0.33%,37.75536,4.889035157,,,,,,,,,,,,,
PT01,0.50%,6.805584,0.677671952,,,,,,,,,,,,,
PT02,0.50%,6.805584,0.677671952,,,,,,,,,,,,,
RO03,1.00%,46.07596801,3.310614111,,,,,,,,,,,,,
SE03,1.00%,16.689312,2.709235899,,,,,,,,,,,,,
SI00,1.00%,,0.0269973,,,,,,,,,,,,,
SK00,1.00%,23.422752,2.959457449,,,,,,,,,,,,,
UK01,0.20%,9.9847296,2.001306699,,,,,,,,,,,,,
UK02,0.20%,9.9847296,2.001306699,,,,,,,,,,,,,
UK03,0.20%,9.9847296,2.001306699,,,,,,,,,,,,,
UK04,0.20%,9.9847296,2.001306699,,,,,,,,,,,,,
UK05,0.20%,9.9847296,2.001306699,,,,,,,,,,,,,
