Year,Month,Day,Hour,Format,Value,,,,,
-,-,-,0,Weekday,0.006,,,,,
-,-,-,1,Weekday,0.005,,,,,
-,-,-,2,Weekday,0.004,,,,,
-,-,-,3,Weekday,0.01,,,,,
-,-,-,4,Weekday,0.02,,,,,
-,-,-,5,Weekday,0.048,,,,,
-,-,-,6,Weekday,0.063,,,,,
-,-,-,7,Weekday,0.06,,,,,
-,-,-,8,Weekday,0.053,,,,,
-,-,-,9,Weekday,0.048,,,,,
-,-,-,10,Weekday,0.046,,,,,
-,-,-,11,Weekday,0.048,,,,,
-,-,-,12,Weekday,0.049,,,,,
-,-,-,13,Weekday,0.051,,,,,
-,-,-,14,Weekday,0.063,,,,,
-,-,-,15,Weekday,0.07,,,,,
-,-,-,16,Weekday,0.074,,,,,
-,-,-,17,Weekday,0.076,,,,,
-,-,-,18,Weekday,0.073,,,,,
-,-,-,19,Weekday,0.058,,,,,
-,-,-,20,Weekday,0.04,,,,,
-,-,-,21,Weekday,0.02,,,,, 
-,-,-,22,Weekday,0.008,,,,,
-,-,-,23,Weekday,0.007,,,,,
-,-,-,0,Weekend,0.006,,,,,
-,-,-,1,Weekend,0.005,,,,,
-,-,-,2,Weekend,0.004,,,,,
-,-,-,3,Weekend,0.01,,,,,
-,-,-,4,Weekend,0.02,,,,,
-,-,-,5,Weekend,0.048,,,,,
-,-,-,6,Weekend,0.063,,,,,
-,-,-,7,Weekend,0.06,,,,,
-,-,-,8,Weekend,0.053,,,,,
-,-,-,9,Weekend,0.048,,,,,
-,-,-,10,Weekend,0.046,,,,,
-,-,-,11,Weekend,0.048,,,,,
-,-,-,12,Weekend,0.049,,,,,
-,-,-,13,Weekend,0.051,,,,,
-,-,-,14,Weekend,0.063,,,,,
-,-,-,15,Weekend,0.07,,,,,
-,-,-,16,Weekend,0.074,,,,,
-,-,-,17,Weekend,0.076,,,,,
-,-,-,18,Weekend,0.073,,,,,
-,-,-,19,Weekend,0.058,,,,,
-,-,-,20,Weekend,0.04,,,,,
-,-,-,21,Weekend,0.02,,,,,
-,-,-,22,Weekend,0.008,,,,,
-,-,-,23,Weekend,0.007,,,,,
